specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20220405-MOHK-003,Pterygophora californica,PTCA,100.5,14431,124014,0.1163658941732385,100,143.59203980099502,0.42977777777777776,210269.09962937026,2225500484.929333,278340.5959030873,15.714678014055085,136991188.7344
20220407-AQUE-001,Pterygophora californica,PTCA,93.5,17271,109960,0.157066205893052,143,184.71657754010695,0.4454166666666666,295359.88952353667,2376359149.2233334,332544.1594866757,17.766755763125566,119259269.55066666
20220407-AQUE-002,Pterygophora californica,PTCA,132.5,15902,99732,0.15944731881442264,131,120.01509433962264,0.32386363636363635,271902.56741199404,2501231795.6652,339613.59548178135,18.10060881116355,119284765.77456002
20220407-AQUE-003,Pterygophora californica,PTCA,130.3,27031,190011,0.14226018493666157,225,207.45203376822715,0.3505384615384615,509851.3924372651,6639295417.239462,616587.3028503393,18.79767122044296,323353297.6780154
20220407-AQUE-004,Pterygophora californica,PTCA,145.4,12757,138873,0.09186090888797678,107,87.7372764786795,0.364875,233367.1436899651,3615946253.69775,296720.489026499,18.937235013882148,168580851.033
20220407-AQUE-005,Pterygophora californica,PTCA,122.3,15306,112277,0.1363235569172671,130,125.15126737530663,0.393,266885.0636309524,2117987368.682308,321917.2541524909,18.437181222983526,106896822.61973846
20220407-AQUE-006,Pterygophora californica,PTCA,149.4,17511,128463,0.13631162280189627,169,117.20883534136546,0.38316326530612244,356828.42453129037,3520441160.16,408094.99840145296,19.378763635893584,168177336.45
20220407-AQUE-007,Pterygophora californica,PTCA,88.7,13058,93532,0.13960997305734935,106,147.2153325817362,0.39876106194690264,221910.79730103232,1500120176.7692308,265419.44156539545,16.343325297359137,79975615.81538461
20220407-AQUE-008,Pterygophora californica,PTCA,116.7,21843,155662,0.14032326450900026,180,187.17223650385603,0.38487394957983195,354346.30035278935,3906889378.228572,463677.12221344915,18.43560208531672,173325189.5142857
20220407-AQUE-009,Pterygophora californica,PTCA,84.7,8868,68368,0.12970980575707933,81,104.69893742621015,0.37333333333333335,167329.9617857143,1713912834.1333334,203635.26299758538,22.08201950209596,68945709.60000001
20220407-AQUE-010,Pterygophora californica,PTCA,48.3,1799,11963,0.15038033937975423,16,37.2463768115942,0.2726530612244898,55435.41333333333,85903910.4,59961.39872868013,12.760282832859735,6193484.36
20220407-AQUE-011,Pterygophora californica,PTCA,46.7,2472,17825,0.13868162692847125,22,52.93361884368308,0.31148936170212765,62661.94,178401156,80184.28371078419,17.527394935256144,9887884
20220407-AQUE-012,Pterygophora californica,PTCA,75.1,7093,46335,0.15308082443077586,56,94.4474034620506,0.3525,129826.08744588746,790686917.1428571,166343.4763127778,17.673694477976564,35828207.78571428
20220421-AQUE-003,Stephanocystis osmundacea,CYOS,84,7134,45191,0.15786329136332455,60,84.92857142857143,0.3605,97577.25114285715,391742133.1934,110173.73675508006,3.2697301086704966,131968137.42932001
20220421-AQUE-004,Stephanocystis osmundacea,CYOS,86,20863,158790,0.13138736696265507,194,242.59302325581396,0.37076086956521737,345706.81444444443,1093393535.5,332533.11050096713,2.6303785967874758,463121621
20220428-AQUE-001,Pterygophora californica,PTCA,121.3,10259,122662,0.08363633399096705,97,84.57543281121187,0.4495454545454545,290306.5948970474,2777443471.7636366,377027.9048544557,18.713742006564175,133597874.85454546
20220503-AQUE-001,Stephanocystis osmundacea,CYOS,33.3,6994,53194,0.1314809940970786,60,210.03003003003005,0.4205263157894737,100148.83499999999,221967701.55833334,98214.00290803018,3.9370542827232717,56169565.972
20220503-AQUE-002,Stephanocystis osmundacea,CYOS,49.3,11547,99153,0.11645638558591268,102,234.2190669371197,0.3575,162113.20158125,865013040.1248751,185889.6949778815,2.9608674190847815,312301619.0973
20220503-AQUE-003,Stephanocystis osmundacea,CYOS,37.3,3550,27017,0.1313987489358552,30,95.17426273458446,0.44228070175438594,49396.03386904762,180261661.16616666,43014.66122560022,5.056067496373052,35148944.0912
