specimen_ID,subsample_ID,date_collected,site,sp_code,needs_check,number_subsamples,notes,type,lifestage,reorg_notes,year
20230627-MOHK-022,20230627-MOHK-022-B,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-022,20230627-MOHK-022-C,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-022,20230627-MOHK-022-D,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-022,20230627-MOHK-022-E,2023-06-27,Mohawk,CO,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-023,20230627-MOHK-023-A,2023-06-27,Mohawk,BO,yes,5,NA,thallus,NA,NA,2023
20230627-MOHK-023,20230627-MOHK-023-B,2023-06-27,Mohawk,BO,yes,5,chlA,thallus,NA,NA,2023
20230627-MOHK-023,20230627-MOHK-023-C,2023-06-27,Mohawk,BO,yes,5,NA,thallus,NA,NA,2023
20230627-MOHK-023,20230627-MOHK-023-D,2023-06-27,Mohawk,BO,yes,5,chlA,thallus,NA,NA,2023
20230627-MOHK-023,20230627-MOHK-023-E,2023-06-27,Mohawk,BO,yes,5,NA,remainder,NA,NA,2023
20230627-MOHK-024,20230627-MOHK-024-A,2023-06-27,Mohawk,DL,NA,1,chlA,thallus,NA,NA,2023
20230711-NAPL-001,20230711-NAPL-001-A,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-001,20230711-NAPL-001-B,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-001,20230711-NAPL-001-C,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-001,20230711-NAPL-001-D,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-001,20230711-NAPL-001-E,2023-07-11,Naples,BO,yes,5,NA,remainder,NA,NA,2023
20230711-NAPL-002,20230711-NAPL-002-A,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-002,20230711-NAPL-002-B,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-002,20230711-NAPL-002-C,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-002,20230711-NAPL-002-D,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-002,20230711-NAPL-002-E,2023-07-11,Naples,BO,yes,5,NA,remainder,NA,NA,2023
20230711-NAPL-003,20230711-NAPL-003-A,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-003,20230711-NAPL-003-B,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-003,20230711-NAPL-003-C,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-003,20230711-NAPL-003-D,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-003,20230711-NAPL-003-E,2023-07-11,Naples,BO,yes,5,NA,remainder,NA,NA,2023
20230711-NAPL-004,20230711-NAPL-004-A,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-004,20230711-NAPL-004-B,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-004,20230711-NAPL-004-C,2023-07-11,Naples,BO,yes,5,NA,thallus,NA,NA,2023
20230711-NAPL-004,20230711-NAPL-004-D,2023-07-11,Naples,BO,yes,5,chlA,thallus,NA,NA,2023
20230711-NAPL-004,20230711-NAPL-004-E,2023-07-11,Naples,BO,yes,5,NA,remainder,NA,NA,2023
20230711-NAPL-005,20230711-NAPL-005-A,2023-07-11,Naples,GR,NA,5,NA,thallus,NA,NA,2023
20230711-NAPL-005,20230711-NAPL-005-B,2023-07-11,Naples,GR,NA,5,chlA,thallus,NA,NA,2023
20230711-NAPL-005,20230711-NAPL-005-C,2023-07-11,Naples,GR,NA,5,NA,thallus,NA,NA,2023
20230711-NAPL-005,20230711-NAPL-005-D,2023-07-11,Naples,GR,NA,5,chlA,thallus,NA,NA,2023
20230711-NAPL-005,20230711-NAPL-005-E,2023-07-11,Naples,GR,NA,5,NA,remainder,NA,NA,2023
