specimen_ID,date_collected,year,site,sp_code,lifestage
20220815-MOHK-002,2022-08-15,2022,Mohawk,CC,NA
20220815-MOHK-003,2022-08-15,2022,Mohawk,CC,NA
20220815-MOHK-004,2022-08-15,2022,Mohawk,R,NA
20220815-MOHK-005,2022-08-15,2022,Mohawk,BO,NA
20220815-MOHK-006,2022-08-15,2022,Mohawk,CC,NA
20220815-MOHK-007,2022-08-15,2022,Mohawk,R,NA
20220815-MOHK-008,2022-08-15,2022,Mohawk,CO,NA
20220815-MOHK-009,2022-08-15,2022,Mohawk,CYOS,NA
20220815-MOHK-010,2022-08-15,2022,Mohawk,CC,NA
20220815-MOHK-011,2022-08-15,2022,Mohawk,CO,NA
20220815-MOHK-012,2022-08-15,2022,Mohawk,CYOS,NA
20220815-MOHK-013,2022-08-15,2022,Mohawk,PTCA,adult
20220815-MOHK-014,2022-08-15,2022,Mohawk,LAFA,NA
20220815-MOHK-015,2022-08-15,2022,Mohawk,CYOS,NA
20220815-MOHK-016,2022-08-15,2022,Mohawk,PTCA,adult
20220815-MOHK-017,2022-08-15,2022,Mohawk,PTCA,adult
20220815-MOHK-018,2022-08-15,2022,Mohawk,LAFA,NA
20220815-MOHK-019,2022-08-15,2022,Mohawk,R,NA
20220818-AQUE-001,2022-08-18,2022,Arroyo Quemado,CO,NA
20220818-AQUE-002,2022-08-18,2022,Arroyo Quemado,CO,NA
20220824-CARP-001,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-002,2022-08-24,2022,Carpinteria,BO,NA
20220824-CARP-003,2022-08-24,2022,Carpinteria,DU,NA
20220824-CARP-004,2022-08-24,2022,Carpinteria,CYOS,NA
20220824-CARP-005,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-006,2022-08-24,2022,Carpinteria,DP,NA
20220824-CARP-007,2022-08-24,2022,Carpinteria,CYOS,NA
20220824-CARP-008,2022-08-24,2022,Carpinteria,BO,NA
20220824-CARP-009,2022-08-24,2022,Carpinteria,CO,NA
